Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
DAP3,0.91142,0.04661,0.57968,0.00197,3.34324
RPS10,0.911,0,0.65074,0.00725,3.09751
AHSA1,0.91099,0.06437,0.51788,0,3.51873
PSMD8,0.91084,0,0.62423,0.00131,3.83722
NIFK,0.91051,0.07129,0.51617,0.00394,2.08808
SRP14,0.91029,0.03384,0.50339,0,4.29766
LRRC75A.AS1,0.91016,0.03812,0.53325,0.00065,3.99563
CNOT7,0.9098,0.06423,0.54616,0.00131,3.05083
VAPA,0.90979,0.07218,0.48154,0,3.35676
POP7,0.90962,0.04897,0.53072,0.00065,3.81562
NOP16,0.90956,0.06511,0.52112,0,3.54688
BCLAF1,0.90947,0.0571,0.62286,0,3.22855
SET,0.90947,0.01781,0.62488,0,4.01036
C19ORF10,0.90889,0.04703,0.66907,0.0046,1.78617
NUDC,0.90877,0.04413,0.5311,0.00065,3.94922
MIR6850,0.90807,0,0.68327,0.00858,2.65445
NOP58,0.90773,0.01904,0.55371,0,4.3827
RBX1,0.90771,0.06877,0.48254,0.00131,3.23478
ELAC2,0.90769,0.05342,0.6307,0.00328,2.53414
CDC37,0.90755,0.02888,0.6724,0.00131,3.22666
TWISTNB,0.90672,0.05082,0.63329,0.00526,2.33453
MIR6797,0.90655,0,0.66523,0.00328,3.55694
GPS2,0.90617,0.05159,0.65753,0.00328,2.32548
DDX21,0.90535,0.01189,0.62864,0,4.15896
ILF2,0.90527,7.00E-04,0.63303,0.00065,4.02056
EXOSC10,0.90525,0.05468,0.66303,0.00592,1.32078
RTFDC1,0.90517,0.05945,0.61459,0.00658,1.9249
COPE,0.90516,0,0.68076,0.00197,3.4872
UBA52,0.90481,0.05029,0.43884,0,4.29676
EIF4B,0.90478,0.07468,0.52799,0.00131,2.80831
NHP2L1,0.90464,0,0.63415,0,4.2932
SNRPE,0.9046,0,0.5695,0.00065,4.44989
RPLP0,0.90442,0,0.56137,0,4.61663
ILF3,0.90427,0,0.61888,0,4.40016
DKC1,0.90371,0.07291,0.57975,0,3.12791
OTUB1,0.90311,0.05262,0.50674,0.00131,3.93047
EIF1AX,0.90202,0,0.7171,0.00065,3.54837
PSMB6,0.90186,0.00066,0.60731,0,4.41903
ZNF207,0.90182,0.0746,0.51026,0.00065,3.26934
SNHG3,0.90146,0.0274,0.74815,0.00658,0.02647
MCM7,0.90142,0.07655,0.56081,0,3.16817
GAS5,0.90141,0.05638,0.6442,0.00197,2.89045
DDX27,0.9014,0.03639,0.59667,0.00065,4.04468
RNPS1,0.90079,0.07582,0.44557,0.00065,3.43974
XRCC6,0.90077,0,0.60527,0,4.46697
RAN,0.90059,0.10894,0.32957,0,0.61655
BIRC5,0.9,0.036,0.6596,0.00262,3.39095
BANF1,0.89992,0,0.60107,0,4.5449
CD164,0.8999,0.06696,0.67345,0.00065,2.18735
PRPF40A,0.8998,0.02229,0.54209,0,4.59695
EIF5B,0.89973,0.012,0.6354,0,4.2839
SNRPB,0.89948,0.0922,0.36046,0,2.93978
SNHG16,0.8994,0.04042,0.51257,0.00065,4.35294
NOP56,0.89923,0,0.55946,0,4.74997
NDUFA2,0.8983,0.06377,0.49179,0.00065,3.93485
RPL35,0.89805,0.00132,0.57551,0,4.63827
PCMT1,0.89746,0,0.74973,0,3.42861
EIF3G,0.89742,0.03626,0.5738,0.00065,4.26211
GRPEL1,0.89708,0,0.7681,0.00197,2.59805
EIF6,0.89692,0.03455,0.60292,0,4.32193
SAP30BP,0.8968,0.04191,0.62419,0.00394,3.58214
RPL26,0.89678,0.00197,0.57541,0,4.6717
MEA1,0.89669,0.06403,0.55073,0.00991,2.7355
TPM3,0.89659,0.00066,0.62787,0.00065,4.31272
ZFR,0.89599,0.07816,0.61342,0.00394,1.32311
EIF3H,0.89592,0.10004,0.44224,0.00065,1.77458
CSNK1A1,0.89555,0.08476,0.51619,0.00065,2.93125
TPT1,0.89545,0,0.7459,0,3.6987
POLDIP3,0.89542,0.03896,0.66046,0.00526,3.25871
CYB5B,0.89533,0.05716,0.65682,0.00197,3.10149
SEC61A1,0.89496,0.04283,0.70964,0.00328,2.67914
HNRNPF,0.89489,0,0.66314,0,4.42563
GNL2,0.89486,0.05828,0.64303,0.00658,2.48012
UBE2D3,0.8947,0,0.64695,0.00065,4.36044
EXOSC7,0.89469,0.07012,0.63841,0.00725,1.18154
DHX15,0.89407,0.03681,0.63118,0.00065,4.08497
MRPL22,0.89388,0.06022,0.52945,0.00328,3.77445
SRPK1,0.89355,0.08175,0.51756,0.00065,3.23567
PRPF8,0.89337,0.03339,0.60743,0.00065,4.27556
FBL,0.8932,0.01422,0.71353,0,3.91706
SRSF2,0.89309,0.01575,0.78399,0,2.71057
RBPJ,0.89277,0.05782,0.65658,0.00131,3.29573
DNAJA2,0.89274,0.10313,0.50289,0.00065,1.14564
