Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
EEF1A1,0.83509,0,0.74857,0,5.29963
MCM4,0.83487,0.05988,0.61334,0.00065,5.27
ATP6V1E1,0.83467,0.0446,0.63177,0.00328,5.27004
FBXW2,0.83449,0.09253,0.64304,0.02206,2.87105
MRPL2,0.83439,0.05252,0.65585,0.00394,5.01641
TMEM208,0.83425,0.04512,0.6807,0.00526,4.94075
DDX49,0.83418,0.0856,0.67231,0.00924,3.74464
PPAT,0.83418,0.06419,0.70057,0.01662,3.99804
DDX55,0.83408,0.04678,0.77054,0.01865,3.58624
SRA1,0.83407,0.05755,0.63748,0.01595,4.59439
CCNL1,0.83397,0.04352,0.77424,0.02617,3.26593
NUP85,0.83375,0.0707,0.64246,0.00526,4.63903
FAM222B,0.83367,0.08062,0.7567,0.01527,2.32012
STX3,0.83334,0.06277,0.79143,0.01527,2.75806
GMNN,0.83325,0.06561,0.61044,0.00526,4.92424
CHD7,0.83312,0.07313,0.74165,0.01191,3.46868
HNRNPA1,0.83312,0,0.74343,0.00262,5.12784
NOB1,0.83312,0.05008,0.67771,0.00658,4.83736
ANKRD17,0.83225,0.07385,0.7126,0.00526,4.1488
TMOD3,0.83209,0.06136,0.70405,0.01527,4.16932
PCBP1,0.83174,0.03405,0.72518,0,5.26564
CCNF,0.83152,0.0728,0.79717,0.00658,2.82397
PRPF3,0.83118,0.0743,0.72423,0.01865,3.35647
CTR9,0.83101,0.07105,0.75414,0.02001,2.97459
VPS26A,0.83052,0.06063,0.7471,0.0046,4.30878
HMGB2,0.83045,0.05947,0.67599,0,5.21683
RANBP2,0.82968,0.0237,0.79311,0.00262,4.56397
NUP62,0.82958,0.11917,0.63128,0,3.79221
METTL16,0.82911,0.08286,0.7134,0.02755,2.50593
SNRNP25,0.82892,0.06781,0.71043,0.00526,4.44367
CPSF6,0.82863,0.1042,0.53323,0.00131,4.49662
ELP5,0.82841,0.06044,0.77922,0.01933,3.16781
ACTR2,0.82818,0.07117,0.74051,0.01325,3.71889
SRP54,0.82811,0.07631,0.63697,0.00526,4.67247
ATOX1,0.82779,0.05364,0.64119,0.00658,5.10134
UTP11L,0.82778,0.07357,0.61723,0.00328,4.9362
COIL,0.82777,0.07211,0.75275,0.03731,1.92857
ZFAND6,0.82732,0.05236,0.71813,0.01393,4.44355
TIMM17A,0.8273,0.1183,0.47332,0.00131,4.24897
RBM28,0.82719,0.06538,0.74632,0.01258,3.93844
NRBP1,0.82677,0.0551,0.74912,0.00592,4.46836
LOC727896,0.82666,0.0678,0.60528,0.03241,4.25534
SDAD1,0.82643,0.07664,0.62912,0.00991,4.56246
BMS1,0.82637,0.04506,0.69295,0.00791,4.94326
MEAF6,0.8262,0.05061,0.68119,0.02411,4.46792
MTF2,0.82612,0.09569,0.6003,0.01325,3.94701
TNPO1,0.82611,0.06707,0.64578,0,5.30793
POLR2J,0.82611,0.10684,0.55484,0.00262,4.30083
ESRP1,0.82597,0.06158,0.69824,0.00858,4.59928
MRPS21,0.82583,0.07759,0.53692,0.00065,5.32268
SRPR,0.82564,0.07862,0.69436,0.01595,3.85161
LTV1,0.82546,0.06854,0.7029,0.00924,4.39739
SUPV3L1,0.82522,0.07583,0.71727,0.01595,3.77826
ARID1A,0.82501,0.03989,0.80827,0.00526,4.16593
SSR1,0.82498,0.09263,0.64971,0,4.65508
XPO5,0.82484,0.0914,0.64591,0.00924,4.03319
MDM4,0.8248,0.05066,0.80768,0.00197,4.21379
CPNE1,0.82432,0.06779,0.73435,0.00924,4.19911
AP3S1,0.82402,0.07447,0.6968,0.00924,4.28943
COX16,0.82378,0.01879,0.70235,0.00991,5.14326
SYF2,0.82375,0.02948,0.70244,0.00394,5.28639
SPINT2,0.82363,0,0.77409,0.00065,5.21794
EMG1,0.82359,0.08279,0.61506,0.00262,4.83314
MED13,0.82342,0.05227,0.83347,0.01258,2.96052
RBM34,0.82311,0.02854,0.72519,0.00394,5.1776
CALU,0.82291,0.03234,0.7371,0.00791,4.90233
GID8,0.82283,0.0924,0.66633,0.00791,3.99816
PSMC4,0.82277,0.08505,0.59452,0.00065,5.03522
WDR12,0.82255,0.06789,0.72988,0.01191,4.18597
MCRS1,0.82252,0.05063,0.69589,0.00791,4.92755
GFM1,0.82249,0.07941,0.74686,0.01595,3.34401
EZH2,0.82225,0.06779,0.75166,0.01798,3.72023
ZRANB2,0.82211,0.03208,0.76635,0.00262,4.93294
RBM3,0.82205,0.05476,0.69089,0.00065,5.28178
SMG1,0.82198,0.05737,0.74238,0.00592,4.5979
WDR61,0.82197,0.06168,0.75387,0.03802,3.11384
RAF1,0.82188,0.07499,0.67249,0.00924,4.50716
STARD7,0.82155,0.0688,0.60636,0.00262,5.26712
ENSA,0.82149,0.11811,0.60867,0.00065,4.06377
EIF4E,0.82124,0,0.82828,0.0046,4.46002
ZNF738,0.82121,0.09274,0.67655,0.01662,3.50157
PTRH2,0.82079,0.08225,0.62506,0.00725,4.65266
PRCC,0.82046,0.04261,0.73376,0.00658,4.90798
CRK,0.82028,0.04694,0.75232,0.01662,4.36837
LBR,0.82009,0.09379,0.74506,0.01191,2.85172
CDCA4,0.82008,0.06452,0.70515,0.01595,4.41308
Sep-07,0.82003,0.10668,0.59675,0.00394,4.22499
UPF2,0.8199,0.0295,0.76459,0.01124,4.66882
TCEB3,0.8195,0.07214,0.62201,0.00131,5.26343
LOC401010,0.81947,0.10705,0.62166,0.03943,1.90234
EIF3J,0.81934,0.04578,0.80711,0.00065,4.59785
PPHLN1,0.81909,0.09401,0.63878,0.00065,4.70401
MMADHC,0.81862,0.10655,0.56853,0.00791,4.18432
ZNF638,0.81831,0.05869,0.73617,0.01595,4.34061
JMJD6,0.81831,0.07591,0.71382,0.00791,4.36283
CNOT1,0.8182,0.07767,0.64569,0.00394,4.89178
RPL41,0.81797,0.07287,0.58161,0.00394,5.26415
SNRNP40,0.81735,0.0969,0.57299,0.00991,4.43388
CGGBP1,0.81709,0.08669,0.71048,0.03731,2.55206
FASTKD2,0.81708,0.0815,0.72524,0.02549,3.30753
TIMM44,0.81691,0.08899,0.66322,0.00065,4.762
DDX54,0.81666,0.06299,0.83451,0.01865,2.20274
SNRNP200,0.81649,0.08903,0.54754,0.00658,4.84871
EIF5AL1,0.81609,0.10642,0.71975,0.00991,2.85816
OIP5,0.81564,0.08802,0.64396,0.01865,4.09331
SUPT16H,0.81558,0.09743,0.53585,0.00131,4.99582
SARS,0.81501,0.09907,0.56739,0.00065,4.93483
ALG2,0.81484,0.08494,0.6992,0.02001,3.75972
WBP11,0.81477,0.07858,0.57782,0.00197,5.32737
ASNSD1,0.8145,0.09371,0.65932,0.01058,4.15157
CD2BP2,0.81448,0.07387,0.70496,0.02138,4.11711
MRPL50,0.81393,0.08476,0.63311,0.00262,4.93948
AP1G1,0.8138,0.09815,0.64605,0.00791,4.21393
NIPA2,0.81353,0.05588,0.76875,0.00394,4.70338
ADNP,0.81343,0.06098,0.78243,0.01191,4.0879
PMM2,0.81334,0.06357,0.65449,0.00526,5.2321
UROD,0.81257,0.06418,0.81994,0.01798,3.04938
MDN1,0.81257,0.05167,0.75085,0.02343,4.29777
FANCD2,0.81237,0.07703,0.69743,0.01258,4.42693
NSFL1C,0.81224,0.04129,0.73221,0.00526,5.1793
NFYC,0.81216,0.05407,0.71118,0.01865,4.71328
EIF2S3,0.81212,0.02137,0.77299,0.00065,5.31698
SUGT1,0.81209,0.09425,0.65524,0.01058,4.2268
NCBP1,0.81207,0.08698,0.65836,0.01325,4.33867
DGUOK,0.81179,0.05798,0.69663,0.0248,4.57319
PPP1CA,0.81157,0.11097,0.49998,0.00328,4.67271
RBBP4,0.81146,0.11894,0.60106,0.00131,4.28903
COPS5,0.81106,0.09043,0.65013,0.0146,4.2553
POLR2B,0.81088,0.11358,0.61345,0.00791,3.9591
RFC2,0.81009,0.1146,0.68002,0.01798,2.63145
RNMT,0.81001,0.08732,0.73053,0.02138,3.41883
ADAM10,0.8099,0.09757,0.77319,0.01325,2.35092
DLD,0.80905,0.06714,0.72449,0.00328,4.97239
NDFIP2,0.80893,0.08745,0.76068,0.01058,3.60866
NUDCD2,0.80854,0.08344,0.59824,0.01662,4.73393
EIF2B1,0.80848,0.08231,0.66918,0.01933,4.31992
ISCA1,0.80846,0.0904,0.63877,0.01865,4.26177
COPB2,0.80843,0.05421,0.7276,0.00328,5.2065
COPS6,0.80841,0.07647,0.67535,0.00328,5.04367
CUL1,0.80839,0.06328,0.77668,0.01798,4.01443
PRPF31,0.8081,0.0635,0.68329,0.00658,5.15782
POU2F1,0.80807,0.04699,0.76003,0.01798,4.57945
RNF10,0.80798,0.05276,0.78605,0.00592,4.62286
CIAPIN1,0.80757,0.05442,0.66697,0.01527,5.16141
MRPS30,0.80688,0.0811,0.58153,0.00924,5.11929
ADIPOR1,0.80672,0.05561,0.71364,0.00991,5.05122
ANAPC1,0.80664,0.12525,0.50855,0.05886,1.68806
SKA3,0.80646,0.0341,0.81995,0.00592,4.57642
TBRG1,0.80634,0.0678,0.70467,0.02343,4.48522
THOC2,0.80627,0.02432,0.82892,0.00262,4.746
CNIH1,0.80625,0.06555,0.75611,0.00262,4.87708
GPN1,0.80606,0.0684,0.73883,0.02617,4.11914
UBE3C,0.80598,0.09099,0.75225,0.02274,3.01849
TMEM59,0.80588,0.08107,0.65707,0.01258,4.72365
MED27,0.80571,0.0866,0.71368,0.06998,1.77246
CELF1,0.80566,0.04304,0.75371,0.00526,5.16075
FIS1,0.80562,0.03302,0.80155,0.02001,4.31962
RRP1B,0.80556,0.09153,0.64591,0.00658,4.68562
DDX47,0.80518,0.09415,0.68674,0.01058,4.21327
UTP18,0.8049,0.08622,0.62553,0.00592,4.97517
NUP93,0.80481,0.09569,0.70613,0.00858,4.13408
POM121C,0.80471,0.08989,0.71076,0.02963,3.41001
KIAA1731,0.8043,0.12092,0.75102,0.01258,1.04457
PRPF38B,0.80421,0.06392,0.67726,0.00592,5.28124
DNAJC9,0.80383,0.08498,0.57661,0.00725,5.16189
MCM10,0.80382,0.04423,0.77287,0.00658,4.95402
COX17,0.8038,0.0468,0.67817,0.01662,5.25198
SPIN1,0.80306,0.07345,0.74152,0.01058,4.52776
RIOK3,0.8028,0.06209,0.74932,0.00924,4.77615
THOC3,0.8025,0.05159,0.70811,0.03311,4.67701
WDR82,0.80157,0.07928,0.75131,0.01191,4.24592
RAB35,0.80126,0.0656,0.76127,0.01191,4.56371
RRP9,0.80106,0.04973,0.77094,0.00991,4.82718
UBIAD1,0.801,0.0983,0.72994,0.03521,2.50173
MED30,0.80095,0.05397,0.79576,0.08057,2.14332
HNRNPH1,0.80018,0.09906,0.71424,0,4.72586
IGBP1,0.79934,0.0637,0.76354,0.01933,4.40788
LTN1,0.79893,0.07526,0.78725,0.05158,2.18991
TXNDC9,0.79868,0.08586,0.68723,0.01258,4.58396
FCF1,0.79866,0.08973,0.68587,0.01191,4.49327
CFDP1,0.79843,0.07111,0.68169,0.01258,5.01958
CHERP,0.79813,0.08162,0.7817,0.02001,3.49808
PNRC2,0.79801,0.08151,0.68347,0.00658,4.94802
RBM4,0.79782,0.06385,0.67206,0.01933,5.07359
NXT1,0.79779,0.05584,0.70562,0.02411,4.92621
ERLEC1,0.79761,0.08692,0.71738,0.03802,3.52297
MOB1A,0.79748,0.06546,0.74916,0.02824,4.29241
CCNL2,0.79746,0.03173,0.82285,0.01527,4.47957
CDCA5,0.7971,0.07592,0.65204,0.00858,5.20393
TUSC2,0.79705,0.09117,0.6551,0.01124,4.7046
NFRKB,0.79702,0.08298,0.72323,0.03381,3.81196
PIP4K2C,0.79659,0.11256,0.73292,0.03311,1.16744
SEC22B,0.79628,0.09526,0.72642,0.00658,4.30337
PHF5A,0.79614,0.10018,0.59068,0.00065,5.25507
EP300,0.79611,0.07157,0.83918,0.00791,3.6509
NKTR,0.79593,0.04693,0.80177,0.01662,4.50307
POLR3H,0.79583,0.06723,0.75953,0.01191,4.67495
PPP6C,0.79564,0.10406,0.65096,0.00592,4.59398
PDAP1,0.79559,0.11561,0.46998,0.00328,4.98792
NOL8,0.79555,0.07013,0.76191,0.0173,4.40885
NCAPH2,0.79554,0.07224,0.74278,0.01393,4.63057
DPM1,0.79551,0.07266,0.70628,0.0046,5.1842
YLPM1,0.79548,0.05794,0.8054,0.02824,3.85625
GLG1,0.79519,0.05849,0.75686,0.01798,4.71872
ORC4,0.79475,0.09233,0.68939,0.02411,4.11073
CHMP1A,0.79471,0.04695,0.73301,0.01058,5.30094
HNRNPUL1,0.79449,0.04469,0.81666,0.00592,4.77098
TMEM199,0.79435,0.0625,0.71004,0.03591,4.59646
ATP6V1C1,0.79428,0.09074,0.71946,0.01865,4.12039
ZMAT2,0.79408,0.06555,0.75735,0.01191,4.76794
SART3,0.79344,0.09201,0.71507,0.02411,3.9428
AZIN1,0.79325,0.09737,0.6794,0.00131,4.95547
ZDHHC5,0.79306,0.08481,0.81061,0.0248,2.65584
PARN,0.79293,0.05567,0.75454,0.01662,4.88828
HDAC1,0.79292,0.07371,0.68946,0.00725,5.19105
BECN1,0.79265,0.09516,0.75626,0.05376,1.63875
SMU1,0.79265,0.07841,0.73081,0.00791,4.8051
SUPT6H,0.79263,0.11183,0.72169,0.02755,2.62405
GNPNAT1,0.79254,0.05434,0.81083,0.01124,4.54005
NCAPD2,0.79247,0.06979,0.77718,0.02206,4.16455
GPBP1L1,0.79232,0.07236,0.69787,0.00526,5.2723
NUP43,0.79213,0.07208,0.82281,0.01595,3.68727
C6ORF106,0.79192,0.06609,0.8322,0.01058,4.00321
COPB1,0.7918,0.06758,0.68767,0.01058,5.27164
FAM204A,0.79145,0.09601,0.66591,0.04155,3.80957
MRPL49,0.79097,0.08035,0.65557,0.00725,5.2524
VTA1,0.79093,0.10765,0.63157,0.00394,4.79051
MTCH1,0.79088,0.04486,0.83159,0.00791,4.62005
WBP4,0.79054,0.05728,0.77592,0.01933,4.62598
EP400,0.7902,0.09566,0.77949,0.03661,2.06172
PHF3,0.79019,0.04786,0.83538,0.01865,4.15407
TIA1,0.79011,0.09014,0.75857,0.02894,3.43517
HARS,0.78977,0.05897,0.69553,0.0173,5.24943
RNMTL1,0.78933,0.06976,0.71559,0.0173,4.92724
USP8,0.78932,0.0997,0.67102,0.01798,4.33482
HP1BP3,0.78922,0.08827,0.73012,0.01798,4.27143
LUZP6.MTPN,0.78915,0.0553,0.79721,0.01258,4.69958
GCC2,0.78898,0.07509,0.77644,0.02206,4.12086
PLA2G12A,0.78881,0.09824,0.73545,0.06033,2.04177
AP1M2,0.78869,0.07711,0.74465,0.01933,4.49817
ZC3H14,0.78859,0.10095,0.65875,0.02001,4.32349
RNASEH2C,0.78843,0.03529,0.77912,0.00791,5.29605
BIRC6,0.78842,0.0765,0.76905,0.0146,4.43055
LIN7C,0.78815,0.08775,0.80239,0.01662,3.43518
UBL7,0.78814,0.0522,0.77785,0.03311,4.44101
RREB1,0.78812,0.00713,0.83869,0.00394,5.0775
PCBP2,0.7881,0,0.82465,0.03731,4.43012
NDUFAF5,0.78788,0.06778,0.7852,0.0798,2.61642
CACUL1,0.78784,0.07001,0.75851,0.00526,5.03288
NRAS,0.78716,0.08515,0.70919,0.01527,4.68079
C17ORF85,0.7869,0.08421,0.79303,0.02963,3.25832
UBR1,0.78657,0.07161,0.79574,0.03802,3.573
TMX1,0.78653,0.07934,0.76712,0.00197,4.93816
CHD1,0.78652,0.08938,0.76134,0.01662,4.06186
FGFR1OP,0.78633,0.07086,0.76996,0.02343,4.3685
MPHOSPH8,0.78615,0.02695,0.83502,0.0046,5.02845
CCDC43,0.78603,0.06671,0.69283,0.01393,5.29288
SNRNP27,0.78586,0.03752,0.76821,0.01258,5.28058
ZC3H13,0.78577,0.05954,0.77337,0.00658,5.10911
RNASEH1,0.78511,0.0751,0.63254,0.02617,5.12611
TNRC6A,0.7849,0.08881,0.79989,0.01191,3.79815
APOPT1,0.78489,0.07431,0.66046,0.02343,5.09832
CCNB2,0.78479,0.10217,0.65657,0.01058,4.71988
FTSJ2,0.78447,0.08839,0.66661,0.00791,5.12437
ATXN3,0.78434,0.07943,0.76435,0.07828,2.62162
API5,0.78346,0.07873,0.71593,0.00394,5.27338
ZNF24,0.78336,0.0613,0.77886,0.04014,4.20729
DHX16,0.7832,0.09099,0.77385,0.03661,3.13816
BRD7,0.78297,0.08824,0.79672,0.04084,2.55609
CLPB,0.78272,0.09079,0.81744,0.04226,0.96053
RIF1,0.78269,0.0257,0.82823,0.00394,5.21003
RSL24D1,0.782,0.11539,0.58443,0.00328,5.0421
TRIM27,0.78159,0.09141,0.71046,0.0146,4.64674
EIF2A,0.78115,0.10458,0.66128,0.00394,4.98031
MCM2,0.78091,0.07915,0.72971,0.00328,5.27395
UBA6,0.78081,0.10841,0.78336,0.03381,1.49783
SLC25A36,0.78067,0.08283,0.75116,0.0173,4.54041
CPSF7,0.78029,0.08001,0.7006,0.01798,4.95407
RBM5,0.78021,0.0678,0.79552,0.02755,4.23397
KIAA1429,0.78015,0.0866,0.75206,0.05448,3.40636
RPRD1A,0.77985,0.08863,0.76511,0.01798,4.19546
CEP350,0.77975,0.09256,0.77276,0.06181,2.10359
ASH1L,0.77954,0.07041,0.80621,0.04583,3.48581
PRC1,0.77913,0.09764,0.73634,0.01325,4.39481
UBE3A,0.77887,0.06154,0.83499,0.02138,4.0925
QTRTD1,0.77879,0.08213,0.74129,0.02755,4.41581
C9ORF114,0.7786,0.08977,0.75361,0.01325,4.4822
PRKAR1A,0.77839,0.07608,0.80953,0.02206,4.00716
SEC23B,0.77836,0.06636,0.75728,0.00592,5.30996
KIF11,0.77823,0.10691,0.74528,0.02824,3.38196
ALKBH5,0.77785,0.09415,0.80905,0.0146,3.58522
COX10,0.77759,0.10031,0.71286,0.03802,3.77833
AQR,0.77755,0.10398,0.73842,0.02274,3.87033
CCDC6,0.77724,0.10733,0.78755,0.02686,2.45351
RCL1,0.77702,0.08193,0.7091,0.02549,4.7482
RPE,0.77688,0.12034,0.65181,0.04726,3.27654
EFCAB14,0.77687,0.06621,0.75896,0.02206,4.87048
SMC5,0.77687,0.08846,0.76728,0.03102,3.86185
LSG1,0.77654,0.08546,0.72539,0.01527,4.80585
RFC4,0.77633,0.05831,0.79879,0.02617,4.5628
RIOK1,0.77623,0.07812,0.68252,0.01595,5.24709
ICE2,0.77619,0.05614,0.79678,0.06328,3.93191
MAK16,0.77605,0.09004,0.70668,0.00924,4.99946
NUP214,0.77492,0.1141,0.72506,0.02138,3.73393
TRNAU1AP,0.77482,0.09724,0.75651,0.06181,2.68537
NCAPG,0.7743,0.10296,0.72245,0.02001,4.22657
MGEA5,0.77378,0.09696,0.82264,0.02755,2.43535
XRN2,0.77377,0.12077,0.50421,0.00592,5.19125
PDS5B,0.77324,0.08873,0.78233,0.02001,4.11862
AP5M1,0.77323,0.10105,0.77269,0.0487,2.52047
EPT1,0.77323,0.06925,0.79483,0.01933,4.60998
ERLIN1,0.77292,0.07836,0.79583,0.03311,3.94772
TPX2,0.77268,0.11432,0.62235,0.00065,5.32919
NARS2,0.77257,0.09439,0.74634,0.05376,3.46543
CNOT10,0.77225,0.09684,0.70321,0.02206,4.5749
TP53RK,0.77219,0.06536,0.79596,0.03032,4.4637
ITCH,0.77212,0.0907,0.7524,0.02686,4.22414
HIPK1,0.77181,0.09875,0.77376,0.03102,3.47598
CHD8,0.77174,0.06077,0.79137,0.02001,4.84288
FGD5.AS1,0.7717,0.07613,0.79588,0.03802,3.95172
FAM168B,0.77139,0.08395,0.73401,0.02274,4.72818
EML4,0.77135,0.08227,0.76399,0.04155,4.0839
POLR3K,0.77077,0.10883,0.6171,0.00592,5.19953
ASCC2,0.77042,0.09888,0.78464,0.03943,3.02372
MAD2L1,0.77037,0.11792,0.62511,0.00262,5.14729
GUF1,0.77035,0.08698,0.69938,0.0173,5.0218
TUG1,0.7698,0.05975,0.81481,0.02549,4.55707
SWAP70,0.76973,0.07488,0.81861,0.04155,3.60609
TTLL4,0.76966,0.07285,0.77115,0.02894,4.59256
TRIP11,0.76953,0.08761,0.77837,0.04084,3.72526
NAMPT,0.7693,0.0878,0.68588,0.04369,4.5615
DYNC1I2,0.76925,0.117,0.59915,0.0046,5.17486
RNF2,0.76882,0.12504,0.68494,0.01325,4.2625
KIAA0100,0.76852,0.06972,0.81156,0.02686,4.32129
FAM200B,0.76827,0.08143,0.75901,0.06699,3.78727
HELZ,0.76813,0.11783,0.68086,0.02274,4.19221
USP36,0.76812,0.10019,0.75696,0.01527,4.33957
PCNT,0.76767,0.0903,0.76796,0.03171,4.08009
NOC3L,0.76737,0.06401,0.79151,0.02549,4.76491
LSM10,0.76695,0.05933,0.76324,0.02001,5.24105
POLR2D,0.76691,0.09872,0.65149,0.00991,5.25627
ARFGAP2,0.76654,0.07045,0.80298,0.02617,4.48223
ILKAP,0.76624,0.10069,0.68796,0.04369,4.21629
UBE4A,0.76612,0.09085,0.74661,0.02411,4.54028
ZSWIM7,0.76598,0.05651,0.75486,0.03102,5.16117
STAMBP,0.76586,0.10795,0.72506,0.06625,3.04137
GATC,0.7655,0.09466,0.70485,0.03102,4.58605
SUDS3,0.76516,0.06931,0.7857,0.01325,5.05651
ZBTB40,0.76489,0.09236,0.75599,0.07676,3.19361
PINX1,0.7648,0.06398,0.77529,0.03171,4.83273
ADPGK,0.76457,0.09089,0.74788,0.02617,4.49861
SECISBP2,0.76438,0.08784,0.79664,0.05158,3.33538
GNL1,0.76421,0.08857,0.76698,0.01865,4.58889
GPATCH8,0.7636,0.11545,0.66688,0.02001,4.54997
AAR2,0.76341,0.07632,0.7978,0.04226,4.09998
COX19,0.76274,0.09027,0.74824,0.0487,4.09861
CPSF2,0.76222,0.10838,0.70578,0.03102,4.23555
EXOC5,0.76188,0.07618,0.72559,0.0248,5.16905
COA1,0.76169,0.0621,0.79761,0.02894,4.77969
MED8,0.76148,0.05395,0.79037,0.04226,4.78548
UGGT1,0.76138,0.09512,0.71694,0.03171,4.58171
COPS2,0.76137,0.09631,0.70843,0.01058,5.14258
SETD2,0.76106,0.08228,0.81439,0.04084,3.73051
DPH2,0.76104,0.09841,0.71416,0.01527,4.91492
MRPL30,0.76052,0.08459,0.66471,0.02894,5.23025
GON4L,0.76028,0.05858,0.80457,0.04014,4.61828
RAD51AP1,0.76011,0.07571,0.76937,0.03102,4.74213
CWF19L1,0.75986,0.11605,0.71535,0.03731,3.80691
RPS3A,0.7596,0.10281,0.71758,0.01058,4.94021
VPS72,0.75916,0.08316,0.71225,0.02686,5.0842
MKLN1,0.75883,0.12307,0.66502,0.03521,4.12885
VMP1,0.75806,0.09882,0.74252,0.01527,4.77278
HDHD3,0.75767,0.10003,0.7569,0.05886,3.53981
FAF2,0.7574,0.05995,0.82057,0.01595,5.02405
ELF2,0.75659,0.07694,0.83314,0.05521,3.43416
FRG1B,0.75657,0.08064,0.7987,0.02001,4.65485
TOPBP1,0.75617,0.11626,0.78098,0.02824,3.29761
CSTF3,0.75601,0.10485,0.74001,0.01258,4.762
OFD1,0.75572,0.09058,0.76004,0.0146,4.92482
AURKA,0.75526,0.07348,0.83135,0.00328,5.10709
WDR75,0.75526,0.05383,0.83022,0.01798,5.02787
RBM27,0.75469,0.08567,0.71953,0.02549,5.10743
MRRF,0.75448,0.07818,0.72661,0.02824,5.18758
ALG13,0.7543,0.04833,0.81028,0.03032,5.07465
TOE1,0.75288,0.1151,0.75005,0.03311,3.85125
DHX33,0.7528,0.07811,0.80951,0.01393,4.8894
KIN,0.75212,0.0704,0.75741,0.05303,4.80801
MGA,0.75212,0.05659,0.80978,0.01933,5.22657
CDCA2,0.75201,0.076,0.82116,0.02824,4.45749
SKIV2L2,0.75199,0.09118,0.71805,0.01527,5.26742
CDK5RAP1,0.75178,0.11464,0.71756,0.03032,4.26925
DDX42,0.75135,0.06558,0.8406,0.02274,4.65904
UTP20,0.75095,0.10399,0.6986,0.02001,4.96697
SP3,0.74918,0.10864,0.76577,0.03241,4.01821
VAMP3,0.74879,0.09369,0.76578,0.01933,4.80889
TYW1,0.7487,0.07796,0.77948,0.08671,3.95964
CAAP1,0.74804,0.09855,0.77841,0.05158,3.83391
UBE4B,0.74788,0.08294,0.82186,0.03451,4.19524
NOC2L,0.74786,0.11572,0.7177,0.01124,4.86701
RBM23,0.74783,0.09369,0.82504,0.04654,3.3539
QRICH1,0.74716,0.09342,0.7575,0.00791,5.261
KRI1,0.74685,0.09175,0.81793,0.02894,4.09299
SCAF4,0.74664,0.08296,0.79001,0.02069,4.90226
USP24,0.74646,0.10027,0.74554,0.05667,4.14022
ARFGEF2,0.74644,0.07429,0.82838,0.0444,4.22
UBAP1,0.74627,0.08337,0.78369,0.04155,4.53346
ITGAE,0.74592,0.06959,0.74823,0.04014,5.23465
EMC7,0.74482,0.08509,0.75749,0.0173,5.25884
MMS22L,0.74462,0.10262,0.77985,0.09449,2.59804
CWC22,0.74377,0.106,0.78782,0.04226,3.75
TMEM69,0.7437,0.09883,0.68334,0.02138,5.30499
DUSP11,0.7435,0.06765,0.83017,0.05231,4.35017
CBL,0.74339,0.06335,0.83739,0.01798,5.04454
OPA1,0.7432,0.07872,0.793,0.02963,4.8581
STRBP,0.74312,0.07753,0.83362,0.02755,4.50448
MTO1,0.743,0.1182,0.77865,0.07073,2.35449
DHX38,0.74248,0.09541,0.7857,0.04226,4.22268
TEX10,0.74244,0.12321,0.69377,0.01393,4.90306
MED29,0.74153,0.06546,0.83707,0.03872,4.60092
PHIP,0.74136,0.0532,0.79974,0.03451,5.3019
VTI1A,0.74119,0.12488,0.76081,0.09842,1.07329
COL4A3BP,0.74087,0.09946,0.77093,0.04226,4.28679
EAPP,0.74078,0.07311,0.77848,0.03591,5.09105
PIGY.PYURF,0.74031,0.07222,0.79494,0.02069,5.26914
ZNF43,0.74027,0.10797,0.83121,0.04942,2.55182
UTP23,0.74024,0.05635,0.78836,0.04155,5.26591
TRIML2,0.74001,0.06258,0.79284,0.03102,5.28762
MED1,0.73982,0.08836,0.72033,0.03872,5.11714
EDEM2,0.73962,0.11548,0.75106,0.08826,2.95676
GINS4,0.73957,0.07035,0.80308,0.05158,4.70465
FUBP3,0.73949,0.08129,0.823,0.03943,4.37489
NCAPH,0.73879,0.1189,0.74932,0.04226,3.98552
MAT2B,0.73861,0.08173,0.83417,0.03241,4.38772
ZNF518A,0.73854,0.06986,0.81876,0.02549,5.02604
ABCF3,0.73813,0.08225,0.79443,0.02755,4.92226
PRR14L,0.73772,0.12521,0.69912,0.03102,4.51655
NUF2,0.73756,0.0754,0.82907,0.07752,3.88516
POLR1A,0.73753,0.08419,0.83372,0.08286,3.26913
ZNF271,0.73738,0.11363,0.79119,0.06328,3.05897
DIAPH3,0.73706,0.08639,0.82894,0.02617,4.48504
PSMD10,0.73706,0.07599,0.83779,0.02274,4.7682
NSUN4,0.73647,0.08664,0.78939,0.0487,4.51841
TSG101,0.73647,0.09567,0.72989,0.03171,5.07473
SLC4A1AP,0.73642,0.08469,0.81576,0.02549,4.73933
ITGB3BP,0.73641,0.101,0.76955,0.03731,4.48805
PCF11,0.73634,0.07133,0.81607,0.03032,4.97198
GTPBP10,0.73618,0.12559,0.67764,0.0596,4.18009
GTSE1,0.73605,0.0997,0.8129,0.01595,4.59819
CCAR2,0.73574,0.10977,0.80189,0.03451,3.89079
CWC27,0.73571,0.12094,0.68096,0.07223,4.10283
TRAPPC8,0.73559,0.12464,0.79812,0.02824,3.59795
UBR2,0.73509,0.10126,0.80266,0.03802,4.13168
CYTH2,0.73495,0.0408,0.83506,0.05158,5.01941
DDX41,0.73463,0.09794,0.75635,0.02549,4.99292
RPAP3,0.73423,0.09915,0.72739,0.01865,5.31768
